prefix,lat,lon,dxcc,iso3,name
4D5,11.28,125.02,375,PHL,Philippines
4D6,10.75,122.97,375,PHL,Philippines
4D7,10.32,123.9,375,PHL,Philippines
4D8,6.92,122.07,375,PHL,Philippines
4D9,7.1,125.62,375,PHL,Philippines
4E1,14.58,121.0,375,PHL,Philippines
4E2,16.42,120.57,375,PHL,Philippines
4E3,15.47,120.57,375,PHL,Philippines
4E4,13.6,123.2,375,PHL,Philippines
4E5,11.28,125.02,375,PHL,Philippines
4E6,10.75,122.97,375,PHL,Philippines
4E7,10.32,123.9,375,PHL,Philippines
4E8,6.92,122.07,375,PHL,Philippines
4E9,7.1,125.62,375,PHL,Philippines
4F1,14.58,121.0,375,PHL,Philippines
4F2,16.42,120.57,375,PHL,Philippines
4F3,15.47,120.57,375,PHL,Philippines
4F4,13.6,123.2,375,PHL,Philippines
4F5,11.28,125.02,375,PHL,Philippines
4F6,10.75,122.97,375,PHL,Philippines
4F7,10.32,123.9,375,PHL,Philippines
4F8,6.92,122.07,375,PHL,Philippines
4F9,7.1,125.62,375,PHL,Philippines
4G1,14.58,121.0,375,PHL,Philippines
4G2,16.42,120.57,375,PHL,Philippines
4G3,15.47,120.57,375,PHL,Philippines
4G4,13.6,123.2,375,PHL,Philippines
4G5,11.28,125.02,375,PHL,Philippines
4G6,10.75,122.97,375,PHL,Philippines
4G7,10.32,123.9,375,PHL,Philippines
4G8,6.92,122.07,375,PHL,Philippines
4G9,7.1,125.62,375,PHL,Philippines
4H1,14.58,121.0,375,PHL,Philippines
4H2,16.42,120.57,375,PHL,Philippines
4H3,15.47,120.57,375,PHL,Philippines
4H4,13.6,123.2,375,PHL,Philippines
4H5,11.28,125.02,375,PHL,Philippines
4H6,10.75,122.97,375,PHL,Philippines
4H7,10.32,123.9,375,PHL,Philippines
4H8,6.92,122.07,375,PHL,Philippines
4H9,7.1,125.62,375,PHL,Philippines
4I1,14.58,121.0,375,PHL,Philippines
4I2,16.42,120.57,375,PHL,Philippines
4I3,15.47,120.57,375,PHL,Philippines
4I4,13.6,123.2,375,PHL,Philippines
4I5,11.28,125.02,375,PHL,Philippines
4I6,10.75,122.97,375,PHL,Philippines
4I7,10.32,123.9,375,PHL,Philippines
4I8,6.92,122.07,375,PHL,Philippines
4I9,7.1,125.62,375,PHL,Philippines
4J,40.45,47.37,18,AZE,Azerbaijan
4L,42.0,45.0,75,GEO,Georgia
4M,8.0,-66.0,148,VEN,Venezuela
4M0,15.67,-63.6,17,VEN,Aves I.
4M1,8.5,-70.55,148,VEN,Venezuela
4M2,8.5,-70.75,148,VEN,Venezuela
4M3,9.5,-69.75,148,VEN,Venezuela
4M4,10.22,-67.97,148,VEN,Venezuela
4M5,10.53,-66.92,148,VEN,Venezuela
4M6,8.1,-63.6,148,VEN,Venezuela
